,User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation
129,gabrielzebu,"teeell me would you kill to save for a life? tell me would you kill to prove you're right? crash, crash, buuuuurn let it all burn his hurricane's chasing us all underground",2020-06-28 04:58:44+00:00,0,0,,,
130,bastoslc6,Hurricane Chris - A Bay Bay,2020-06-27 23:36:59+00:00,0,1,,,
131,creynacalalo,Me parece que Crusaders va a bajar el número de penales. No deberíamos olvidar que contra Hurricanes fue su primer partido con las law variation. La inteligencia colectiva y la capacidad de adaptación es su mayor fortaleza e imagino que SR debe haber trabajado toda la semana.,2020-06-27 23:07:06+00:00,0,0,,,
132,metapregnant,"I've seen you cry but I've never seen you shout Like a hurricane, these shots don't ricochet Sight blurred, I'm walkin dazed, girl, I'm fucking faded Or maybe wasted, I can't remember how it happened Oh I don't know my limits at all I'm sinking down into my thoughts Oh my God ",2020-06-27 21:59:15+00:00,0,0,,,
133,ODROCKnROLL,Shake Your Booty,2020-06-26 04:50:17+00:00,0,1,,,
134,XmuitatretaX,Hurricane. reinaldofreitasbr #wmma #wmmafighter #lutadora #porradeira #antifa #anarko #punkgirl #eparrey #hurricane #muaythaifighter #jiujitsufighter #fightlikeagoat #ilhaprimeira #barradatijuca #tft #posto6… https://www.instagram.com/p/CB36EJupcwy/?igshid=1n5menl9tp8y0,2020-06-25 21:42:31+00:00,0,0,,#wmma #wmmafighter #lutadora #porradeira #antifa #anarko #punkgirl #eparrey #hurricane #muaythaifighter #jiujitsufighter #fightlikeagoat #ilhaprimeira #barradatijuca #tft #posto6,
135,LuzEmperaWisin,#Quakes #predictions NEW 24/06 21:00 :: ÀREA #PR M 5.5 A 6.8 EN 2 SEMANAS O 2 MESES/ ÀREA #HAITI SOON IN WEEKS OR MONTHS:: 6.6 A 7.1 (MARCA A 8.1)/ #CUBA M 4.5 A 6.4 WEEKS 9 OR 9 MONTHS/ #TURCAS M 4.5 A 6.1/\ #HURRICANE #ATLÀNTICO ÀREA #HAITI 10 WEEKS ÀREA #BARBUDA WITH FORCE.,2020-06-25 01:46:44+00:00,1,1,,#Quakes #predictions #PR #HAITI #CUBA #TURCAS #HURRICANE #ATL #HAITI #BARBUDA,
136,alexandreopina1,"Sei a letra de músicas de protesto do Chico, Vandré, Gonzaguinha, Gil, Caetano, Racionais mas, me perdoem, essa é imbatível: @bobdylan - Hurricane 1975 [Live] https://youtu.be/pm6xCwNKtnQ via @YouTube @FProtesto",2020-06-24 19:36:50+00:00,0,1,@bobdylan @YouTube @FProtesto,,
137,LuzEmperaWisin,#Hurricane #predictions 23/06 21:04 INDICA UNO NUEVO EVENTO EN ÉSTA REGIÓN ...PRÓXIMO // ACTUALMENTE #DOLLY LA #TormentaTropical sin FUTURO ,2020-06-24 01:07:59+00:00,0,1,,#Hurricane #predictions #DOLLY #TormentaTropical,
138,LuzEmperaWisin,#Hurricane #Storms #predictions 23/06 21:01 Will Smith predictivo a ver que nos trae pronto en días de nuevo ... INDICA UNO NUEVO EVENTO DE TORMENTA ...O #HURRICANE ... #CICLÓN ...,2020-06-24 01:04:53+00:00,1,1,,#Hurricane #Storms #predictions #HURRICANE #CICL,
139,talvane_netto,Here comes a story of a hurricane And a temper lost like crying tears in rain No love is lost or no sweet wisdom gained So save your tears then save yourself the shame ,2020-06-23 21:51:55+00:00,0,0,,,
140,natchesca,here comes a story of a hurricane.....,2020-06-23 08:23:28+00:00,0,1,,,
141,ZNildaalves,#PL2630Nao,2020-06-23 03:16:22+00:00,0,0,,#PL2630Nao,
142,ODROCKnROLL,Is This Love @Whitesnake,2020-06-22 18:34:29+00:00,0,5,@Whitesnake,,
143,ygorp1996,"Aquele stab de Dragon Dance, Hurricane e Dragon Claw foi de fude",2020-06-22 17:52:09+00:00,0,0,,,
144,ubbi20115,"Tres shows de la Cura en un 22 de junio : en Festival - terrein aan de Parkweg de Hardewijk , Holanda , en 1981 . En el Hurricane Festival de ScheeBel - Eichenring , Alemania , en 2012 . Y en Merriweather Post Pavilion de Columbia , US , en 2016 . ",2020-06-22 13:24:33+00:00,0,0,,,
145,Leticia_lety_le,Whitesnake ,2020-06-22 13:17:46+00:00,0,2,,,
