,User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation
8688,BessFrankoff,Praying for those in hurricane Laura’s path. I hope people are taking it seriously and evacuate.,2020-08-26 19:43:35+00:00,0,18,,,
8689,wx4cstr,This is some very strong wording from the National Hurricane Center! Laura is going to have an unbelievable surge. ,2020-08-26 19:43:19+00:00,0,4,,,
8690,HHS_Canes,"Fort Bend ISD closed Wednesday and Thursday, August 26-27, in anticipation of Hurricane Laura. We will continue to monitor and evaluate the local conditions and communicate plans for Friday. Please continue to visit http://www.fortbendisd.com for updates.",2020-08-26 19:43:17+00:00,2,2,,,
8691,kimbzzinthatrap,lol hurricane Laura is not playing. my baby better not try to come right now,2020-08-26 19:43:02+00:00,0,1,,,
8692,SeaDoc,Same people who disregard covid-19 will disregard this hurricane and die...within 12 hours... time will tell...,2020-08-26 19:42:30+00:00,0,1,,,
8693,briasinterlud3,okay now I’m kinda scared of this hurricane,2020-08-26 19:41:48+00:00,0,0,,,
8694,AntClose,"Laura upgraded to Category 4 hurricane, 'unsurvivable' storm surge forecast for Texas-Louisiana. ",2020-08-26 19:41:37+00:00,0,0,,,
8695,georgeslayy,sorry the hurricane took my wifi router,2020-08-26 19:41:37+00:00,0,1,,,
8696,alphaArnie,Hurricane Laura bout to dismantle the Louisiana/Texas coast line ,2020-08-26 19:41:27+00:00,0,0,,,
8697,chanceinternett,evacuated from a hurricane wbu,2020-08-26 19:41:11+00:00,0,1,,,
8698,Drama34Houston,"She is a huge. Hurricane Large Laura. Be safe my friends around the great city of Houston AKA #Screwston #HTown #ClutchCity #likesforlike #like4likes @Houston, Texas https://www.instagram.com/p/CEXVcOcpCGF/?igshid=182x0hdoydntq",2020-08-26 19:40:59+00:00,0,0,,#Screwston #HTown #ClutchCity #likesforlike #like4likes,
8699,_SativaSenpai,"Say man, we not gon get NONE of the rain from the hurricane?!? None?",2020-08-26 19:40:58+00:00,0,0,,,
8700,slimfineMF,Hurricane Laura upgraded to 'extremely dangerous' Category 4 storm by US National Hurricane Center ,2020-08-26 19:40:27+00:00,1,1,,,
8701,_bahprincess,How i dodge a hurricane only for it to go where my family is.... Ine like it,2020-08-26 19:40:14+00:00,0,0,,,
8702,TheRealClarkie3,"Happy Hurricane Birthday Kaidence, 7 years old already! ",2020-08-26 19:39:56+00:00,0,1,,,
8703,le_HOO_se_HER,Am I the only one who saw that Tik Tok about that MF hurricane going to hit Houston on the 27th of August.... back in MAY ,2020-08-26 19:39:51+00:00,0,0,,,
8704,BrianJamesWx,"And just because this hurricane is your namesake, it doesn't give you free reign to be all crazy and whatnot. ",2020-08-26 19:39:43+00:00,0,2,,,
8705,itsbreehey,damn the hurricane finna hit,2020-08-26 19:39:35+00:00,0,0,,,
8706,ElfordCourtney,@uscensusbureau y’all have people out going door to door with a hurricane coming? Let them go home and prepare. ,2020-08-26 19:38:36+00:00,0,0,@uscensusbureau,,
8707,lucy71663,We miss you Dr Frank!!,2020-08-26 19:38:19+00:00,0,0,,,
8708,Trent_PhD,Hurricanes that hit the gulf &amp; hurricanes that hit Miami move different,2020-08-26 19:38:15+00:00,0,1,,,
8709,Rtwenty1A,Dawg if you're in the New Orleans to Houston area GET THE FUCK OUT! That hurricane gonna be unreal.,2020-08-26 19:38:07+00:00,0,1,,,
8710,jenapaaige,"Don’t laugh in my face about a cat 4 hurricane, that’s now bigger than Katrina was, just because you think it’s “being blown out of proportion”.",2020-08-26 19:37:49+00:00,0,7,,,
8711,BarryIshimine,Perfect music for Rain/Hurricane... ,2020-08-26 19:36:48+00:00,0,1,,,
8712,JJRush1999,Hurricane Laura producing an unsurvivable storm surge in Texas and Louisiana. A catastrophic 800-mile derecho in Iowa and Illinois. Raging wildfires in California. No. The Green New Deal is not radical. Having a president in office who calls climate change a hoax—that's radical.,2020-08-26 19:36:20+00:00,0,0,,,
8713,Frazier7324,"Prayers to everyone who’s about to be affected #HurricaneLaura. This massive hurricane is full steam ahead in the Gulf of Mexico, packing a deadly punch. In 10 hours landfall is expected, first responders will be working night and day. ",2020-08-26 19:35:39+00:00,1,6,,#HurricaneLaura,
8714,NickAnderson14_,I pray for protection for everyone in the path of Hurricane Laura ,2020-08-26 19:35:09+00:00,5,29,,,
8715,SidInTheCut,people so dumb...how can i hurricane reach the middle or northern part of a state all you will get is rain and tornadoes which is the offspring of the hurricane aka tropical storm ,2020-08-26 19:34:58+00:00,0,0,,,
